LLM Benchmark Log — 2026-05-14T16:42:07.356000
================================================================================

────────────────────────────────────────────────────────────────────────────────
  Phase: low  10 RPS  60 steps
────────────────────────────────────────────────────────────────────────────────
  step=  1  pod=localization-api1  5410ms  [parser]  raw_text='scale_cpu(20)'  → action=[0.04 0.  ]
    PARSE FAILED: could not extract action from text below:
    'scale_cpu(0)'
  step=  1  pod=localization-api2  1063ms  [parser]  raw_text='scale_cpu(0)'  → action=[0. 0.]
  step=  2  pod=localization-api1  1323ms  [parser]  raw_text='scale_cpu(-100)'  → action=[-0.2  0. ]
  step=  2  pod=localization-api2  1275ms  [parser]  raw_text='scale_cpu(-50)'  → action=[-0.1  0. ]
  step=  3  pod=localization-api1  1295ms  [parser]  raw_text='scale_cpu(-50m)'  → action=[-0.1  0. ]
  step=  3  pod=localization-api2  1261ms  [parser]  raw_text='scale_cpu(50)'  → action=[0.1 0. ]
  step=  4  pod=localization-api1  1391ms  [parser]  raw_text='scale_cpu(50)'  → action=[0.1 0. ]
  step=  4  pod=localization-api2  1385ms  [parser]  raw_text='scale_cpu(50)'  → action=[0.1 0. ]
  step=  5  pod=localization-api1  1480ms  [parser]  raw_text='scale_cpu(50m)'  → action=[0.1 0. ]
  step=  5  pod=localization-api2  1423ms  [parser]  raw_text='scale_cpu(-50)'  → action=[-0.1  0. ]
  step=  6  pod=localization-api1  1584ms  [parser]  raw_text='scale_cpu(-50m)'  → action=[-0.1  0. ]
  step=  6  pod=localization-api2  1419ms  [parser]  raw_text='scale_cpu(-50)'  → action=[-0.1  0. ]
  step=  7  pod=localization-api1  1606ms  [parser]  raw_text='scale_cpu(-50m)'  → action=[-0.1  0. ]
  step=  7  pod=localization-api2  1588ms  [parser]  raw_text='scale_cpu(-50m)'  → action=[-0.1  0. ]
  step=  8  pod=localization-api1  1576ms  [parser]  raw_text='scale_cpu(-50)'  → action=[-0.1  0. ]
  step=  8  pod=localization-api2  1563ms  [parser]  raw_text='scale_cpu(50)'  → action=[0.1 0. ]
  step=  9  pod=localization-api1  1557ms  [parser]  raw_text='scale_cpu(50)'  → action=[0.1 0. ]
